"","parameter","est","se","pval"
"1","IA.| A_01",1,0,999
"2","IA.| A_02",1,0,999
"3","IA.| A_03",1,0,999
"4","IA.| A_04",1,0,999
"5","IA.| A_05",1,0,999
"6","IA.| A_06",1,0,999
"7","SA.| A_01",0,0,999
"8","SA.| A_02",2,0,999
"9","SA.| A_03",4,0,999
"10","SA.| A_04",6,0,999
"11","SA.| A_05",8,0,999
"12","SA.| A_06",10,0,999
"13","IB.| B_01",1,0,999
"14","IB.| B_02",1,0,999
"15","IB.| B_03",1,0,999
"16","IB.| B_04",1,0,999
"17","IB.| B_05",1,0,999
"18","IB.| B_06",1,0,999
"19","SB.| B_01",0,0,999
"20","SB.| B_02",2,0,999
"21","SB.| B_03",4,0,999
"22","SB.| B_04",6,0,999
"23","SB.| B_05",8,0,999
"24","SB.| B_06",10,0,999
"25","A_02.ON A_01",-0.008,0.009,0.372
"26","A_02.ON B_01",0.054,0.033,0.096
"27","A_03.ON A_02",-0.008,0.009,0.372
"28","A_03.ON B_02",0.124,0.046,0.007
"29","A_04.ON A_03",-0.008,0.009,0.372
"30","A_04.ON B_03",-0.001,0.067,0.993
"31","A_05.ON A_04",-0.008,0.009,0.372
"32","A_05.ON B_04",-0.013,0.09,0.882
"33","A_06.ON A_05",-0.008,0.009,0.372
"34","A_06.ON B_05",-0.004,0.112,0.97
"35","B_02.ON B_01",0.049,0.022,0.028
"36","B_02.ON A_01",-0.002,0.004,0.576
"37","B_03.ON B_02",0.049,0.022,0.028
"38","B_03.ON A_02",-0.002,0.004,0.553
"39","B_04.ON B_03",0.049,0.022,0.028
"40","B_04.ON A_03",-0.001,0.004,0.8
"41","B_05.ON B_04",0.049,0.022,0.028
"42","B_05.ON A_04",0.007,0.006,0.244
"43","B_06.ON B_05",0.049,0.022,0.028
"44","B_06.ON A_05",0.002,0.007,0.763
"45","SA.WITH IA",-0.011,0.006,0.074
"46","IB.WITH IA",-0.096,0.019,0
"47","IB.WITH SA",0,0.002,0.979
"48","SB.WITH IA",0.001,0.002,0.657
"49","SB.WITH SA",0,0,0.631
"50","SB.WITH IB",-0.002,0.001,0.08
"51","A_01.WITH B_01",-0.014,0.021,0.507
"52","Means IA",4.377,0.025,0
"53","Means SA",-0.103,0.018,0
"54","Means IB",1.379,0.014,0
"55","Means SB",0,0.004,0.92
"56","Intercepts A_01",0,0,999
"57","Intercepts A_02",0,0,999
"58","Intercepts A_03",0,0,999
"59","Intercepts A_04",0,0,999
"60","Intercepts A_05",0,0,999
"61","Intercepts A_06",0,0,999
"62","Intercepts B_01",0,0,999
"63","Intercepts B_02",0,0,999
"64","Intercepts B_03",0,0,999
"65","Intercepts B_04",0,0,999
"66","Intercepts B_05",0,0,999
"67","Intercepts B_06",0,0,999
"68","Variances IA",1.755,0.065,0
"69","Variances SA",0.008,0.001,0
"70","Variances IB",0.136,0.011,0
"71","Variances SB",0.001,0,0.006
"72","Residual.Variances A_01",1.659,0.056,0
"73","Residual.Variances A_02",1.838,0.05,0
"74","Residual.Variances A_03",1.828,0.048,0
"75","Residual.Variances A_04",1.886,0.049,0
"76","Residual.Variances A_05",1.824,0.052,0
"77","Residual.Variances A_06",1.686,0.061,0
"78","Residual.Variances B_01",0.105,0.011,0
"79","Residual.Variances B_02",0.112,0.007,0
"80","Residual.Variances B_03",0.121,0.007,0
"81","Residual.Variances B_04",0.117,0.007,0
"82","Residual.Variances B_05",0.098,0.008,0
"83","Residual.Variances B_06",0.1,0.011,0
